Date,Gauge,Total Rain / Event
2006-01-10,1,0.86
2006-01-12,1,0.3
2006-01-15,1,3.2
2006-01-22,1,3.58
2006-01-28,1,1.77
2006-02-02,1,1.7
2006-02-03,1,0.54
2006-02-06,1,0.22
2006-02-10,1,1.32
2006-02-20,1,0.3
2006-02-25,1,0.98
2006-03-09,1,0.82
2006-03-13,1,0.04
2006-03-20,1,4.5
2006-03-28,1,0.13
2006-04-07,1,1.63
2006-04-21,1,0.8
2006-04-21,1,0.76
2006-04-26,1,0.2
2006-04-29,1,2.48
2006-05-04,1,0.32
2006-05-04,1,0.2
2006-05-09,1,1
2006-05-10,1,0.7
2006-05-29,1,0.2
2006-05-31,1,0.43
2006-05-31,1,0.3
2006-06-01,1,1
2006-06-18,1,0.81
2006-06-19,1,0.03
2006-06-23,1,0.5
2006-07-04,1,0.27
2006-07-05,1,0.24
2006-07-15,1,0.16
2006-08-12,1,2.75
2006-09-11,1,0.55
2006-09-12,1,0.01
2006-09-17,1,0.94
2006-09-18,1,0.12
2006-09-23,1,2.45
2006-10-16,1,4.38
2006-10-19,1,0.85
2006-10-26,1,1.78
2006-10-31,1,1.44
2006-11-06,1,1.21
2006-11-15,1,0.47
2006-11-28,1,0.09
2006-11-30,1,0.39
2006-12-12,1,1.60
2006-12-24,1,0.745
2006-12-25,1,0.745
2006-12-26,1,0.745
2006-12-27,1,0.745
2006-12-28,1,0.745
2006-12-29,1,0.745
2006-12-30,1,0.745
2006-12-31,1,0.745
2006-01-10,2,0.08
2006-01-12,2,0.27
2006-01-15,2,3.01
2006-01-22,2,3.58
2006-01-28,2,1.70
2006-02-02,2,1.55
2006-02-03,2,0.50
2006-02-06,2,0.20
2006-02-10,2,1.37
2006-02-20,2,0.32
2006-02-25,2,0.98
2006-03-09,2,0.92
2006-03-13,2,0.05
2006-03-20,2,4.50
2006-03-28,2,0.14
2006-04-07,2,1.50
2006-04-21,2,0.85
2006-04-21,2,0.60
2006-04-26,2,0.30
2006-04-29,2,2.48
2006-05-04,2,0.34
2006-05-06,2,0.22
2006-05-09,2,1.00
2006-05-10,2,0.70
2006-05-29,2,0.20
2006-05-31,2,0.15
2006-05-31,2,0.20
2006-06-01,2,1.10
2006-06-18,2,1.00
2006-06-19,2,0.02
2006-06-23,2,0.45
2006-07-04,2,0.23
2006-07-05,2,0.27
2006-07-15,2,0.11
2006-08-12,2,2.77
2006-09-11,2,1.16
2006-09-12,2,0.03
2006-09-17,2,0.72
2006-09-18,2,0.19
2006-09-23,2,2.35
2006-10-16,2,4.64
2006-10-10,2,0.86
2006-10-26,2,1.78
2006-10-31,2,1.27
2006-11-06,2,1.16
2006-11-15,2,0.41
2006-11-28,2,0.08
2006-11-30,2,0.55
2006-12-12,2,1.83
2006-12-24,2,0.7
2006-12-25,2,0.7
2006-12-26,2,0.7
2006-12-27,2,0.7
2006-12-28,2,0.7
2006-12-29,2,0.7
2006-12-30,2,0.7
2006-12-31,2,0.7
2006-01-10,3,0.8
2006-01-12,3,0.8
2006-01-15,3,0.3
2006-01-22,3,3
2006-01-28,3,3.77
2006-02-02,3,1.71
2006-02-03,3,0.54
2006-02-06,3,1.7
2006-02-10,3,0.22
2006-02-20,3,1.45
2006-02-25,3,0.37
2006-03-09,3,0.77
2006-03-13,3,0.05
2006-03-20,3,4.4
2006-03-28,3,0.15
2006-04-07,3,1.4
2006-04-21,3,0.9
2006-04-21,3,0.46
2006-04-26,3,0.025
2006-04-29,3,2.48
2006-05-04,3,0.45
2006-05-06,3,0.26
2006-05-09,3,1
2006-05-10,3,0.7
2006-05-29,3,0.2
2006-05-31,3,0.005
2006-05-31,3,0.4
2006-06-01,3,1
2006-06-18,3,0.94
2006-06-19,3,0.025
2006-06-23,3,0.7
2006-07-04,3,0.27
2006-07-05,3,0.23
2006-07-15,3,0.007
2006-08-12,3,3
2006-09-11,3,1.1
2006-09-12,3,0.08
2006-09-17,3,0.55
2006-09-18,3,0.22
2006-09-23,3,2.07
2006-10-16,3,4.54
2006-10-19,3,0.91
2006-10-26,3,2.07
2006-10-31,3,1.27
2006-11-06,3,1.12
2006-11-15,3,0.48
2006-11-28,3,0.08
2006-11-30,3,0.45
2006-12-12,3,1.71
2006-12-24,3,0.40625
2006-12-25,3,0.40625
2006-12-26,3,0.40625
2006-12-27,3,0.40625
2006-12-28,3,0.40625
2006-12-29,3,0.40625
2006-12-30,3,0.40625
2006-12-31,3,0.40625
2006-01-10,4,0.74
2006-01-12,4,0.32
2006-01-15,4,3.21
2006-01-22,4,3.5
2006-01-28,4,1.4
2006-02-02,4,1.5
2006-02-03,4,0.51
2006-02-06,4,0.25
2006-02-10,4,1.4
2006-02-20,4,0.41
2006-02-25,4,0.98
2006-03-09,4,0.74
2006-03-13,4,0.12
2006-03-20,4,4.4
2006-03-28,4,0.18
2006-04-07,4,1.47
2006-04-21,4,0.85
2006-04-21,4,0.44
2006-04-26,4,0.4
2006-04-29,4,2.36
2006-05-04,4,0.43
2006-05-06,4,0.26
2006-05-09,4,1
2006-05-10,4,0.6
2006-05-29,4,0.2
2006-05-31,4,0.003
2006-05-31,4,0.3
2006-06-01,4,0.4
2006-06-18,4,0.92
2006-06-19,4,0.03
2006-06-23,4,0.55
2006-07-04,4,0.17
2006-07-05,4,0.3
2006-07-15,4,0.004
2006-08-12,4,2.4
2006-09-11,4,0.92
2006-09-12,4,0.2
2006-09-17,4,0.43
2006-09-18,4,0.09
2006-09-23,4,2.1
2006-10-16,4,4.08
2006-10-19,4,0.92
2006-10-26,4,1.72
2006-10-31,4,1.43
2006-11-06,4,0.7
2006-11-15,4,0.42
2006-11-28,4,0.03
2006-11-30,4,0.4
2006-12-12,4,1.68
2006-12-24,4,0.61375
2006-12-25,4,0.61375
2006-12-26,4,0.61375
2006-12-27,4,0.61375
2006-12-28,4,0.61375
2006-12-29,4,0.61375
2006-12-30,4,0.61375
2006-12-31,4,0.61375
2006-01-10,5,0.82
2006-01-12,5,0.36
2006-01-15,5,3.18
2006-01-22,5,3.56
2006-01-28,5,1.63
2006-02-02,5,1.54
2006-02-03,5,0.56
2006-02-06,5,0.21
2006-02-10,5,1.33
2006-02-20,5,0.32
2006-02-25,5,1.06
2006-03-09,5,0.9
2006-03-13,5,0.11
2006-03-20,5,3.9
2006-03-28,5,0.18
2006-04-07,5,1.52
2006-04-21,5,0.25
2006-04-21,5,1.13
2006-04-26,5,0.3
2006-04-29,5,2.34
2006-05-04,5,0.51
2006-05-06,5,0.26
2006-05-09,5,1.1
2006-05-10,5,0.6
2006-05-29,5,0.3
2006-05-31,5,0.002
2006-05-31,5,0.2
2006-06-01,5,0.8
2006-06-18,5,1.05
2006-06-19,5,0.13
2006-06-23,5,0.6
2006-07-04,5,0.16
2006-07-05,5,0.21
2006-07-15,5,0.28
2006-08-12,5,2.26
2006-09-11,5,1.08
2006-09-12,5,0.10
2006-09-17,5,0.52
2006-09-18,5,0.16
2006-09-23,5,2.2
2006-10-16,5,4.3
2006-10-19,5,0.86
2006-10-26,5,2
2006-10-31,5,1.41
2006-11-06,5,1.03
2006-11-16,5,0.65
2006-11-28,5,0.07
2006-11-30,5,0.46
2006-12-12,5,1.82
2006-12-24,5,0.70625
2006-12-25,5,0.70625
2006-12-26,5,0.70625
2006-12-27,5,0.70625
2006-12-28,5,0.70625
2006-12-29,5,0.70625
2006-12-30,5,0.70625
2006-12-31,5,0.70625
